Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
56,2.0,0.5713000297546387,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差",['地理位置']
57,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
58,6.0,0.7142000198364258,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['隔音', '不太好']"
59,6.0,0.8580999970436096,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['发黄', '马桶盖', '换房', '房间', '五星级', '标准', '好评', '骗', '令人', '失望', '五星', '位置', '一无是处']"
60,1.0,0.7135000228881836,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务周到', '热情']"
61,0.0,0.8277999758720398,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['位置', '房间', '免费', '升级']"
62,5.0,0.4607999920845032,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '不错', '位置', '东站', '对面']"
63,5.0,0.7856000065803528,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '性价比', '高']"
64,2.0,0.7142000198364258,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['靠近', '地铁']"
65,0.0,0.5123999714851379,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['免费', '升级', '满意', '住房', '干净', '卫生', '期待', '入住', '选择', '这家', '性价比', '高', '交通']"
66,1.0,0.7135000228881836,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '房间']"
67,5.0,0.7856000065803528,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '位置', '不错']"
68,5.0,0.41510000824928284,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '丶', '推荐', '这家', '店']"
69,5.0,0.7139000296592712,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '不错']"
70,6.0,0.8234000205993652,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['学生', '入住', '晚上', '吵']"
71,5.0,0.7139000296592712,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '不错']"
72,2.0,0.9171000123023987,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['真的', '不敢恭维', '设施', '席梦思床', '垫', '太软', '提出', '拿来', '床板', '放在', '席梦思床', '垫', '浴缸', '洗脸盆', '水流', '速度', '慢', '房间', '隔音', '效果', '差', '唯一', '优点', '离开', '广州东站', '火车站', '下次', '再也不会', '住']"
73,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
74,0.0,0.828000009059906,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['帮', '朋友', '订', '不错']"
75,5.0,0.7139000296592712,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '一流']"
76,5.0,0.7854999899864197,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '服务', '不错']"
77,1.0,0.8618000149726868,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['房间', '干净', '卫生', '韩女士', '服务', '满意']"
78,2.0,0.448199987411499,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['停车场', '停车', '地理位置', '优越', '出行', '房间', '整洁', '干净', '服务员', '服务', '意识', '态度', '值得', '入住']"
79,1.0,0.7850000262260437,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['很棒', '可爱', '机器人']"
80,5.0,0.8284000158309937,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '超好', '早餐', '不错']"
81,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
82,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
83,6.0,0.3889000117778778,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['火车', '东站', '一路', '隔', '坐火车', '东站', '东方', '宝泰', '广场', '里', '吃', '东西', '陶陶', '居', '稍微', '床头', '插座', '手机', '充电', '早餐', '中', '西式', '韩日', '现', '滚', '粥', '挺不错', '服务态度', '不错', '戒指', '落', '床头柜', '服务员', '发现', '感谢']"
84,0.0,0.713699996471405,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['接待', '服务']"
85,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
86,1.0,0.7135000228881836,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '房间']"
87,1.0,0.7138000130653381,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '到位']"
88,5.0,0.7139000296592712,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '服务']"
89,5.0,0.612500011920929,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['广州东站', '旁边', '交通', '便利', '服务周到', '热情', '效率高', '代表', '中国', '服务水平', '顶端', '房间', '设施', '不错', '早餐', '品种', '味道', '不错', '广州', '不错', '选择']"
90,3.0,0.5875999927520752,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['位置', '地铁站', '出口', '米', '不到', '样子', '出行', '老派', '五星', '点', '勉强', '原', '住', '差距', '不小', '价格', '便宜', '算', '对得起', '价位', '订', '一晚', '追加', '三个', '晚上', '晚上', '四楼', '中餐厅', '消费', '气愤', '消费', '透明', '菜品', '陶陶', '居', '亲民', '水准', '透明', '收费', '陶陶', '居', '倍', '价格', '中餐厅', '价位', '倍', '着实', '吓傻', '图', '证', '鱼', '便宜']"
91,1.0,0.730400025844574,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['卫生', '干净', '天净']"
92,2.0,0.4277999997138977,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['靠近', '地铁', '卫生', '净']"
93,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
94,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
95,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
96,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
97,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
98,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
99,6.0,0.39089998602867126,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['中国', '飞机']"
100,1.0,0.7142000198364258,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['干净', '卫生']"
101,1.0,0.43639999628067017,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['酒店设施', '服务', '周到']"
102,2.0,0.3968000113964081,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['地理位置', '優']"
103,2.0,0.5921000242233276,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['紧靠', '广州东站', '第一次', '住', '感觉', '不错']"
104,5.0,0.6804999709129333,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['喜欢', '结构', '创意', '景色', '观江', '房值']"
105,5.0,0.5713000297546387,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高",['环境']
106,5.0,0.5713000297546387,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高",['环境']
107,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
108,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
109,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
110,0.0,0.7202000021934509,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['服务态度', '冷淡', '迎宾', '服务员', '服务员', '脸上', '看不到', '一丝', '笑容', '冷冰冰', '自助', '早餐', '品种', '自助', '晚餐', '价格', '贵', '优惠', '一位', '菜品', '少', '性价比', '差', '点菜', '吃饭', '时', '汤', '娃娃', '菜', '中', '吃到', '敲碎', '瓷', '碎片', '餐饮', '管理', '太', '差', '瓷', '碎片', '吃进', '肚', '后果', '不堪设想']"
111,5.0,0.5564000010490417,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '便利', '卫生']"
112,5.0,0.7854999899864197,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '优越', '早餐']"
113,1.0,0.5428000092506409,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '主动', '询问', '无烟', '房']"
114,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
115,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
116,1.0,0.571399986743927,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住",['棒棒']
117,2.0,0.9139999747276306,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['地理位置', '广州东站', '估计', '走', '不到', '分钟', '房间', '设施', '舒适']"
118,2.0,0.46619999408721924,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['这家', '住', '干净', '实惠', '五星', '交通', '选择']"
119,0.0,0.4796000123023987,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['接待', '服务态度']"
120,3.0,0.6915000081062317,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['延迟', '下午', '点', '退房', '早餐', '周边']"
121,4.0,0.7612000107765198,"房, 旅游, 服務, 时, 房间, 好评, 游玩, 套房, 选择, 订","['离店', '延迟', '下午', '两点', '好评', '周边']"
122,5.0,0.5564000010490417,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['交通', '便利', '卫生']"
123,0.0,0.3817000091075897,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['位置', '房間', '太旧', '需', '改善']"
124,5.0,0.7141000032424927,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '安静']"
125,0.0,0.713699996471405,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['气派', '服务']"
126,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
127,5.0,0.8568000197410583,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['总体', '不错', '环境', '老牌', '五星级']"
128,5.0,0.44679999351501465,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['靠近', '广州东站', '出差', '旅行', '周边', '小吃', '众多', '品尝', '点', '都德', '陶陶', '居', '广州', '地道', '美食', '餐厅', '不错', '喜欢', '竹升', '面馆', '筋道', '可口', '出门', '左转', '遇', '红绿灯', '左转', '即可']"
129,5.0,0.4828999936580658,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['满意', '房间', '满意', '位置', '不错']"
130,5.0,0.460999995470047,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['干净', '卫生', '设施', '齐全', '服务周到']"
131,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
132,1.0,0.8565999865531921,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '帮', '安排', '无烟', '房']"
133,0.0,0.7002000212669373,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['服务', '回', '介绍', '朋友']"
134,3.0,0.5892000198364258,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['活动', '合算']"
135,2.0,0.5713000297546387,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差",['地理位置']
136,1.0,0.7103999853134155,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['地理位置', '特别', '房间', '环境', '豪华', '喜欢', '风格']"
137,5.0,0.5580000281333923,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['东站', '交通', '便利']"
138,3.0,0.4941999912261963,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['服务', '礼貌', '客人', '着想', '客房', '服务', '整体', '不敢苟同', '特别', '服务', '幸好', '第二天', '第三天', '一位', '还算', '可爱', '男', '服务生', '早餐', '不错', '喜欢']"
139,1.0,0.6859999895095825,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '点', '赞', '值班', '经理', '响应']"
140,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
141,5.0,0.3158999979496002,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['旧', '卫生', '不错']"
142,5.0,0.7141000032424927,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['早餐', '不错']"
143,6.0,0.5217999815940857,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['中规中矩', '四星', '水平', '价格', '贵', '点', '出行', '交通', '便利', '吃饭', '下次', '入住']"
144,5.0,0.4300000071525574,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['不错', '五星']"
145,5.0,0.6395000219345093,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['应', '供应商', '订', '供应商', '见面', '洽谈', '业务', '环境', '行', '东站', '对面', '卫生', '不错', '牙具', '用品', '房间内', '预备', '问', '价格', '收', '贵', '提供', '牙具', '感觉']"
146,0.0,0.4083999991416931,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['位置', '床', '软', '卫生']"
147,5.0,0.7139999866485596,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['位置', '设施']"
148,6.0,0.8439000248908997,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['地理位置', '不錯', '服務', '態度', '還', '算', '有待', '加強', '這次', '入往', '時間', '不好', '春節', '期間', '設施', '大部分', '暫停', '營業', '下次', '來', '廣州', '還', '會', '入']"
149,3.0,0.5705999732017517,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高",['东站']
150,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
151,1.0,0.6194000244140625,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['地下', '駅', '各種', '付近', '良', '朝食', '比較', '選', '択', '肢', '良', '思', '少', '冷', '料理', '残念', '国柄', '部屋', '扉開', '大声', '歓', '談', '騒', '残念', '係']"
152,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
153,6.0,0.570900022983551,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验",['服务态度']
154,3.0,0.43140000104904175,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['沙发', '舒适']"
155,2.0,0.7847999930381775,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['豪华', '房', '舒适']"
156,3.0,0.8407999873161316,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['利用', '設備', '泊', '問題', '思', '出張', '時', '利用', '思']"
157,3.0,0.7731999754905701,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['設備', '泊', '問題', '思', '毎', '回', '張', '時', '利用', '出張', '時', '利用', '思']"
158,3.0,0.8126999735832214,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['很好', '朋友', '广州', '喜欢', '住', '这家', '交通', '东站']"
159,1.0,0.39399999380111694,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['淋雨', '设备', '分开']"
160,0.0,0.1429000049829483,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错",[]
161,5.0,0.4677000045776367,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['卫生', '环境', '服务', '地理位置', '不错']"
162,1.0,0.4848000109195709,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['总体', '服务', '感觉', '谢谢']"
163,5.0,0.49790000915527344,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['还行', '设施', '一点']"
164,6.0,0.4668999910354614,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['不错', '机场', '班', '车站']"
165,2.0,0.4729999899864197,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['中规中矩', '一家', '星级', '广州市', '天河区', '东站', '硬件', '设备', '算是', '新', '早餐', '选择', '少', '游泳池']"
166,3.0,0.4169999957084656,"住, 舒服, 房间, 感觉, 入住, 性价比, 下次, 太, 床, 高","['早餐', '真心']"
167,6.0,0.5450000166893005,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['地點', '服務', '不錯']"
